Prompt,# of Unique Nodes,# of Unique Edges,# of Unique Triples,# of Synonymy Edges,Average Degree,Density,wccR,AUC,Precision,Recall,F1
,,,,,,,,,,,
,,,,,,,,,,,
prompt_v2_other3shot_run1,185,129,129,30,1.3946,0.00379,0.302703,0.288,0.439,0.4,0.418
prompt_v2_other3shot_run2,175,125,125,28,1.4286,0.004105,0.285714,0.286,0.434,0.399,0.416
prompt_v2_other3shot_run3,168,119,119,30,1.4167,0.004242,0.291667,0.298,0.451,0.411,0.43
,176,124.3333333,124.3333333,29.33333333,1.4133,0.004045667,0.293361333,0.290666667,0.441333333,0.403333333,0.421333333
,,,,,,,29.33613333,29.06666667,44.13333333,40.33333333,42.13333333
,,,,,,,,,,,
,,,,,,,,,,,
prompt_v2_1shot(13)_run1,171,125,126,27,1.462,0.0043,0.269006,0.296,0.465,0.405,0.433
prompt_v2_1shot(13)_run2,161,116,117,29,1.441,0.004503,0.279503,0.308,0.5,0.41,0.451
prompt_v2_1shot(13)_run3,175,123,124,31,1.4057,0.004039,0.297143,0.293,0.464,0.4,0.43
,169,121.3333333,122.3333333,29,1.436233333,0.004280667,0.281884,0.299,0.476333333,0.405,0.438
,,,,,,,28.1884,29.9,47.63333333,40.5,43.8
,,,,,,,,,,,
prompt_v2_3shot_run2_run1,184,131,132,21,1.4239,0.00389,0.288043,0.316,0.486,0.425,0.454
prompt_v2_3shot_run2_run2,188,137,137,24,1.4574,0.003897,0.271277,0.328,0.502,0.437,0.467
prompt_v2_3shot_run2_run3,186,131,131,22,1.4086,0.003807,0.295699,0.306,0.485,0.412,0.445
,186,133,133.3333333,22.33333333,1.429966667,0.003864667,0.285006333,0.316666667,0.491,0.424666667,0.455333333
,,,,,,,28.50063333,31.66666667,49.1,42.46666667,45.53333333
,,,,,,,,,,,
prompt_v2_10shot(w/ gold)_run1,192,139,139,44,1.4479,0.00379,0.276042,0.424,0.656,0.512,0.575
prompt_v2_10shot(w/ gold)_run2,165,122,122,30,1.4788,0.004508,0.260606,0.413,0.721,0.48,0.576
prompt_v2_10shot(w/ gold)_run3,172,131,131,34,1.5233,0.004454,0.238372,0.425,0.739,0.488,0.588
,176.3333333,130.6666667,130.6666667,36,1.483333333,0.004250667,0.25834,0.420666667,0.705333333,0.493333333,0.579666667
,,,,,,,25.834,42.06666667,70.53333333,49.33333333,57.96666667
,,,,,,,,,,,
prompt_v2_5shot_run2_run1,188,113,134,36,2.8511,0.007623,0.287234,0.299,0.443,0.414,0.428
prompt_v2_5shot_run2_run2,174,109,127,26,1.4598,0.004219,0.270115,0.277,0.415,0.391,0.403
prompt_v2_5shot_run2_run3,177,112,125,30,1.4124,0.004013,0.293785,0.296,0.442,0.411,0.425
,179.6666667,111.3333333,128.6666667,30.66666667,1.907766667,0.005285,0.283711333,0.290666667,0.433333333,0.405333333,0.418666667
,,,,,,,28.37113333,29.06666667,43.33333333,40.53333333,41.86666667
